166505	!!!	20150801:8469	20150802:2914	20150803:2917	20150804:2378	20150805:8463	20150806:8464	20150807:8461	20150808:2911	20150809:2915	20150810:2915	20150811:8468	20150812:2384	20150813:8464	20150814:8470	20150815:2922	20150816:2920	20150817:2918	20150818:2926	20150819:8468	20150820:8466	20150821:2923	20150822:8464	20150823:2914	20150824:8460	20150825:8466	20150826:2916	20150827:2916	20150828:2915	20150829:8464	20150830:8464	20150831:2390
135712	%22Heroes%22	20150801:430	20150802:9204	20150803:4632	20150804:0	20150805:2329	20150806:2155	20150807:3237	20150808:6169	20150809:3276	20150810:3541	20150811:9800	20150812:4724	20150813:5401	20150814:3438	20150815:189	20150816:2079	20150817:339	20150818:8602	20150819:251	20150820:4197	20150821:3735	20150822:4896	20150823:1196	20150824:9815	20150825:9465	20150826:4797	20150827:5505	20150828:5505	20150829:2991	20150830:4237	20150831:9577
150379	%22Heroes%22_(David_Bowie_song)	20150801:8031	20150802:3683	20150803:3371	20150804:1521	20150805:8701	20150806:4186	20150807:3370	20150808:2778	20150809:5734	20150810:3784	20150811:4706	20150812:6842	20150813:9024	20150814:2880	20150815:6539	20150816:4207	20150817:2942	20150818:9465	20150819:4621	20150820:5123	20150821:182	20150822:2603	20150823:4540	20150824:4987	20150825:7547	20150826:4246	20150827:2380	20150828:2380	20150829:8378	20150830:6455	20150831:5173
159655	%22https://commons.wikimedia.org/w/index.php	20150801:8606	20150802:5525	20150803:2631	20150804:0	20150805:302	20150806:8515	20150807:8747	20150808:9998	20150809:8137	20150810:8326	20150811:4351	20150812:8477	20150813:1654	20150814:2867	20150815:8697	20150816:5149	20150817:3928	20150818:0	20150819:5413	20150820:1705	20150821:8615	20150822:7906	20150823:0	20150824:7244	20150825:3729	20150826:9246	20150827:4884	20150828:5569	20150829:0	20150830:2930	20150831:6504
105416	%22https://www.mediawiki.org/wiki/Special:MyLanguage/Extension:TimedMediaHandler/Client_download%22>download	20150801:1262	20150802:0	20150803:7199	20150804:0	20150805:2745	20150806:1789	20150807:3456	20150808:0	20150809:8503	20150810:3734	20150811:3682	20150812:2144	20150813:8042	20150814:5685	20150815:939	20150816:8148	20150817:7479	20150818:0	20150819:9242	20150820:0	20150821:1264	20150822:2348	20150823:7811	20150824:551	20150825:2752	20150826:3261	20150827:0	20150828:7027	20150829:0	20150830:0	20150831:6353
145258	%22I_AM%22_Activity	20150801:387	20150802:9525	20150803:9798	20150804:3671	20150805:3459	20150806:6989	20150807:4374	20150808:903	20150809:5515	20150810:8025	20150811:8022	20150812:6026	20150813:5546	20150814:1327	20150815:0	20150816:1792	20150817:1081	20150818:2011	20150819:4974	20150820:6091	20150821:4173	20150822:446	20150823:4614	20150824:3930	20150825:7610	20150826:9282	20150827:7721	20150828:4593	20150829:2828	20150830:7546	20150831:2999
150419	%22I_Quit%22_match	20150801:2938	20150802:1511	20150803:4976	20150804:0	20150805:7693	20150806:0	20150807:6450	20150808:6412	20150809:215	20150810:9954	20150811:8510	20150812:1363	20150813:7351	20150814:4780	20150815:2143	20150816:8088	20150817:2731	20150818:3227	20150819:3925	20150820:7723	20150821:3680	20150822:9035	20150823:9798	20150824:2319	20150825:417	20150826:2469	20150827:7314	20150828:7315	20150829:367	20150830:9609	20150831:8106
107092	%22Master_Harold%22...and_the_Boys	20150801:2746	20150802:0	20150803:3133	20150804:0	20150805:0	20150806:5909	20150807:4705	20150808:0	20150809:0	20150810:4858	20150811:5614	20150812:418	20150813:8162	20150814:2733	20150815:0	20150816:1482	20150817:2768	20150818:3490	20150819:5513	20150820:5147	20150821:325	20150822:0	20150823:9148	20150824:7035	20150825:450	20150826:3779	20150827:3457	20150828:4371	20150829:9723	20150830:2601	20150831:9525
157417	%22Polish_death_camp%22_controversy	20150801:248	20150802:6377	20150803:6325	20150804:2653	20150805:6330	20150806:1084	20150807:3780	20150808:4802	20150809:1323	20150810:5150	20150811:6101	20150812:4884	20150813:419	20150814:5322	20150815:2937	20150816:9326	20150817:9493	20150818:8024	20150819:5071	20150820:9488	20150821:2348	20150822:3263	20150823:2145	20150824:3720	20150825:4539	20150826:9077	20150827:9279	20150828:4767	20150829:6060	20150830:8492	20150831:4590
125028	%22Repent,_Harlequin!%22_Said_the_Ticktockman	20150801:3701	20150802:6084	20150803:9418	20150804:0	20150805:2144	20150806:0	20150807:6358	20150808:8086	20150809:4613	20150810:10001	20150811:1213	20150812:9037	20150813:8772	20150814:1385	20150815:4610	20150816:1980	20150817:5530	20150818:3784	20150819:2144	20150820:0	20150821:348	20150822:5056	20150823:2144	20150824:2147	20150825:3361	20150826:7610	20150827:2530	20150828:3490	20150829:0	20150830:242	20150831:9240
124054	%22Still_Life%22_(American_Concert_1981)	20150801:2768	20150802:6828	20150803:4175	20150804:0	20150805:2754	20150806:6640	20150807:9073	20150808:3005	20150809:7199	20150810:1902	20150811:4534	20150812:1174	20150813:3542	20150814:3652	20150815:0	20150816:8022	20150817:4803	20150818:0	20150819:0	20150820:9845	20150821:9160	20150822:8368	20150823:2872	20150824:2873	20150825:2316	20150826:7027	20150827:4704	20150828:0	20150829:0	20150830:3456	20150831:3362
